text,label
"DELIVERY RECEIPT & DISPATCH SLIP
DN Number: DC-5631
Dispatch Date: 25-07-2024
Purchase Order: PO-2024-9802
Supplier: Omkar Industrial Hardware
Destination: Industrial Warehouse Sector 5
List of Items:
Item: Hydraulic Pressure Relief Valve 1/2 inch | Qty Delivered: 10 | Unit: NOS | Batch No: B-2024-09
Security Gate Entry No: G-4412
Storekeeper Signature: _____________
Date & Time Received: 25-07-2024 14:30 hrs",DELIVERY_NOTE
"ORIGINAL TAX INVOICE (FOR RECIPIENT)
Invoice No: INV-2425-35640
Date of Issue: 21-02-2024
PO Ref: PO-2024-8806
Supplier Name: Premier Bearings & Power Transmission
PAN: AABCP9871M
GSTIN/UIN: 27AABC2846A1Z9
Place of Supply: 27-Maharashtra
Table of Supplies:
SI No | Item Description | Qty | Rate | Amount
01 | Viton Seal Gasket 100mm OD | 20 | 98.11 | 1962.20
Total Taxable: 1962.20
IGST @ 18%: 353.20
Gross Total: 2315.40
Subject to Pune Jurisdiction only.",INVOICE
"ORDER CONFIRMATION / PO
Purchase Order Ref: PO-2024-8467
Issued To: Swaraj Pneumatic Systems
Ship To: Plot 102, Chakan Industrial Area, Pune 410501
Order Date: 23-02-2024
Required Delivery Date: 15-10-2024
Items Ordered:
- Digital Vernier Caliper 0-150mm | Quantity: 20 NOS | Unit Rate: Rs. 1296.73 | Total: Rs. 25934.60
Freight: Extra at actuals
GST: 18% extra
Prepared by: Purchase Dept",PURCHASE_ORDER
"MATERIAL DISPATCH NOTE
Dispatch Memo: DC-5696
Date: 02-01-2024
Ref PO: PO-2024-2538
Vendor: Sunrise Rubber & Polymer Components
Delivered To: Central Stores, Unit II
Description: Carbon Steel Seamless Pipe 2 inch NB
Quantity Sent: 200 MTR
No of Cartons: 10
Received Ok by Stores Department.",DELIVERY_NOTE
"INTERNAL MEMORANDUM
To: All Plant Staff
From: Operations Director
Subject: Scheduled maintenance of Power Generator DG-2 on coming Sunday.
All departments are requested to plan production accordingly.",UNKNOWN
"DELIVERY RECEIPT & DISPATCH SLIP
DN Number: DC-9572
Dispatch Date: 15-09-2024
Purchase Order: PO-2024-7486
Supplier: Kirloskar Engineering Supplies
Destination: Industrial Warehouse Sector 5
List of Items:
Item: Industrial Ball Bearing 6205-2RS | Qty Delivered: 10 | Unit: NOS | Batch No: B-2024-09
Security Gate Entry No: G-4412
Storekeeper Signature: _____________
Date & Time Received: 15-09-2024 14:30 hrs",DELIVERY_NOTE
"DEBIT NOTE
Debit Note No: DC-7466
Debit Note Date: 18-01-2024
Against Original Invoice: INV-2425-47125
Issued By: Swaraj Pneumatic Systems
GSTIN: 27AABC8356A1Z9
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Stainless Steel Hex Bolt M10x50mm
Underbilled Amount: Rs. 22.81
Applicable GST (18%): Rs. 4.11
Total Debit Value: Rs. 26.92
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"ORDER CONFIRMATION / PO
Purchase Order Ref: PO-2024-2924
Issued To: Bharat Precision Fasteners
Ship To: Plot 102, Chakan Industrial Area, Pune 410501
Order Date: 12-02-2024
Required Delivery Date: 20-10-2024
Items Ordered:
- Carbon Steel Seamless Pipe 2 inch NB | Quantity: 100 MTR | Unit Rate: Rs. 600.61 | Total: Rs. 60061.00
Freight: Extra at actuals
GST: 18% extra
Prepared by: Purchase Dept",PURCHASE_ORDER
"FORMAL PRICE PROPOSAL
Quote ID: QUO-2024-588
Date: 11-01-2024
Customer: MSME Manufacturing
Supplier: Shree Ganesh Hydraulic Spares
Estimated Schedule of Rates:
1. Stainless Steel Hex Bolt M10x50mm - Unit Rate: INR 45.09 (MOQ: 50 PCS)
GST: 18% extra
Delivery: Ex-works Pune
Warranty: 12 months from delivery date.
Commercial Terms: 100% against delivery.
Authorized Signatory: Shree Ganesh Hydraulic Spares",QUOTATION
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-218
Date: 03-08-2024
Ref Invoice: INV-2425-86643
Vendor: Mahindra Tooling & Forging Ltd
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Stainless Steel Hex Bolt M10x50mm - Difference INR 2160.40
IGST Adjustment: INR 388.87
Net Credit Allowed: INR 2549.27
Authorized Signatory, Accounts Department",CREDIT_NOTE
"INTERNAL MEMORANDUM
To: All Plant Staff
From: Operations Director
Subject: Scheduled maintenance of Power Generator DG-2 on coming Sunday.
All departments are requested to plan production accordingly.",UNKNOWN
"DELIVERY RECEIPT & DISPATCH SLIP
DN Number: DC-7617
Dispatch Date: 14-07-2024
Purchase Order: PO-2024-7334
Supplier: Vanguard Steel & Alloys Corp
Destination: Industrial Warehouse Sector 5
List of Items:
Item: Pneumatic Cylinder Double Acting 50mm Bore | Qty Delivered: 200 | Unit: NOS | Batch No: B-2024-09
Security Gate Entry No: G-4412
Storekeeper Signature: _____________
Date & Time Received: 14-07-2024 14:30 hrs",DELIVERY_NOTE
"PAYMENT RECEIPT / VOUCHER
Receipt No: PAY-REC-110203
Payment Date: 12-07-2024
Paid To: Premier Bearings & Power Transmission
Paid By: MSME Auto Components Ltd
Payment Method: NEFT / RTGS Transfer
Bank Transaction Ref / UTR: UTR-HDFC-99182374192
Invoice Reference: INV-2425-94711
Amount Paid: INR 5485.23
Amount in Words: INR 5485.23 only
Payment towards full/part settlement of Invoice INV-2425-94711
Authorized Accounts Officer: Rajeev Kumar",PAYMENT_RECEIPT
"PAYMENT ADVICE & RECEIPT
Payment Slip Ref: PAY-REC-316123
Date of Remittance: 16-02-2024
Vendor: Shree Ganesh Hydraulic Spares
Against Bill/Invoice No: INV-2425-20823
Cheque/NEFT No: 882910
Paid Amount: INR 1075.22
Deductions (TDS/Retention): Rs. 0.00
Total Cleared: INR 1075.22
Received with thanks from MSME Industries.",PAYMENT_RECEIPT
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-701
Date: 12-03-2024
Ref Invoice: INV-2425-81108
Vendor: Swaraj Pneumatic Systems
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Digital Vernier Caliper 0-150mm - Difference INR 2263.52
IGST Adjustment: INR 407.43
Net Credit Allowed: INR 2670.95
Authorized Signatory, Accounts Department",CREDIT_NOTE
"DEBIT NOTE
Debit Note No: DC-7549
Debit Note Date: 03-05-2024
Against Original Invoice: INV-2425-42663
Issued By: Kirloskar Engineering Supplies
GSTIN: 27AABC4711A1Z5
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Nitrile Rubber O-Ring Kit 200pcs
Underbilled Amount: Rs. 7719.97
Applicable GST (18%): Rs. 1389.59
Total Debit Value: Rs. 9109.56
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-6732
Date of Dispatch: 01-09-2024
Against PO No: PO-2024-4469
Consignor: Bharat Precision Fasteners
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Digital Vernier Caliper 0-150mm - Dispatched Qty: 10 NOS (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-9367
Date of Dispatch: 20-01-2024
Against PO No: PO-2024-1297
Consignor: National Electricals & Controls
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Industrial Ball Bearing 6205-2RS - Dispatched Qty: 200 NOS (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"ORDER CONFIRMATION / PO
Purchase Order Ref: PO-2024-7333
Issued To: Kirloskar Engineering Supplies
Ship To: Plot 102, Chakan Industrial Area, Pune 410501
Order Date: 08-07-2024
Required Delivery Date: 02-10-2024
Items Ordered:
- Hydraulic Pressure Relief Valve 1/2 inch | Quantity: 200 NOS | Unit Rate: Rs. 1723.32 | Total: Rs. 344664.00
Freight: Extra at actuals
GST: 18% extra
Prepared by: Purchase Dept",PURCHASE_ORDER
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-7571
Date of Dispatch: 02-05-2024
Against PO No: PO-2024-8698
Consignor: Omkar Industrial Hardware
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Nitrile Rubber O-Ring Kit 200pcs - Dispatched Qty: 100 SET (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-186
Date: 18-05-2024
Ref Invoice: INV-2425-66219
Vendor: Vanguard Steel & Alloys Corp
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Viton Seal Gasket 100mm OD - Difference INR 3022.15
IGST Adjustment: INR 543.99
Net Credit Allowed: INR 3566.14
Authorized Signatory, Accounts Department",CREDIT_NOTE
"ORIGINAL TAX INVOICE (FOR RECIPIENT)
Invoice No: INV-2425-40048
Date of Issue: 18-08-2024
PO Ref: PO-2024-9625
Supplier Name: Vanguard Steel & Alloys Corp
PAN: AABCP9871M
GSTIN/UIN: 27AABC6425A1Z9
Place of Supply: 27-Maharashtra
Table of Supplies:
SI No | Item Description | Qty | Rate | Amount
01 | Viton Seal Gasket 100mm OD | 100 | 101.18 | 10118.00
Total Taxable: 10118.00
IGST @ 18%: 1821.24
Gross Total: 11939.24
Subject to Pune Jurisdiction only.",INVOICE
"STANDARD PURCHASE ORDER
PO No: PO-2024-3864
Buyer: MSME Manufacturing Works
Supplier: Shree Ganesh Hydraulic Spares
GSTIN: 27AABC7358A1Z9
Item Details:
Item Code: ITM-758, Description: Tungsten Carbide Milling Insert TNMG160408, Quantity: 100, Rate: 1532.22, Taxable Value: 153222.00
Total Order Value: INR 153222.00
Special Instructions: Deliver with inspection certificate and warranty.",PURCHASE_ORDER
"INVOICE
Doc No: INV-2425-33527
Date: 06-06-2024
Ref Purchase Order: PO-2024-3010
From: Mahindra Tooling & Forging Ltd
To: Bharat Engineering MSME
Summary:
Item: Viton Seal Gasket 100mm OD
Quantity Supplied: 200
Price per unit: Rs. 97.59
Net Amount: Rs. 19518.00
Add GST 18%: Rs. 3513.24
Invoice Total: Rs. 23031.24
Payment Due Date: 02-10-2024
Please remit payment to State Bank of India A/c: 30981723481",INVOICE
"PAYMENT RECEIPT / VOUCHER
Receipt No: PAY-REC-823597
Payment Date: 06-02-2024
Paid To: Omkar Industrial Hardware
Paid By: MSME Auto Components Ltd
Payment Method: NEFT / RTGS Transfer
Bank Transaction Ref / UTR: UTR-HDFC-99182374192
Invoice Reference: INV-2425-31327
Amount Paid: INR 803957.60
Amount in Words: INR 803957.60 only
Payment towards full/part settlement of Invoice INV-2425-31327
Authorized Accounts Officer: Rajeev Kumar",PAYMENT_RECEIPT
"DELIVERY RECEIPT & DISPATCH SLIP
DN Number: DC-5456
Dispatch Date: 08-09-2024
Purchase Order: PO-2024-9232
Supplier: National Electricals & Controls
Destination: Industrial Warehouse Sector 5
List of Items:
Item: Viton Seal Gasket 100mm OD | Qty Delivered: 10 | Unit: PCS | Batch No: B-2024-09
Security Gate Entry No: G-4412
Storekeeper Signature: _____________
Date & Time Received: 08-09-2024 14:30 hrs",DELIVERY_NOTE
"TAX INVOICE
Invoice Number: INV-2425-49223
Invoice Date: 02-04-2024
PO Reference: PO-2024-6456
Seller: Shree Ganesh Hydraulic Spares
GSTIN: 27AABC2506A1Z6
Buyer: MSME Precision Components Ltd
Buyer GSTIN: 27AAACM1234F1Z5
Description of Goods: Hydraulic Pressure Relief Valve 1/2 inch
HSN Code: 84818030
Qty: 200 NOS
Unit Rate: INR 1957.12
Taxable Value: INR 391424.00
CGST 9%: INR 35228.16
SGST 9%: INR 35228.16
Total Invoice Amount: INR 461880.32
Bank Account: HDFC Bank, IFSC: HDFC0001234, A/c: 5020001928374
For Shree Ganesh Hydraulic Spares - Authorized Signatory",INVOICE
"COMMERCIAL PURCHASE ORDER
Order ID: PO-2024-4786
Vendor Name: National Electricals & Controls
Billing Address: Plot 45, Industrial Estate, Pune
Date of Order: 01-08-2024
Scope of Supply:
- Carbon Steel Seamless Pipe 2 inch NB (Qty: 20, Unit Price: 653.54, Amount: 13070.80)
Payment: 100% against Delivery Note and Tax Invoice.
Authorized by Procurement Manager.",PURCHASE_ORDER
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-6407
Date of Dispatch: 23-02-2024
Against PO No: PO-2024-7546
Consignor: Kirloskar Engineering Supplies
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Industrial Ball Bearing 6205-2RS - Dispatched Qty: 20 NOS (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"PURCHASE ORDER
PO Number: PO-2024-7606
Date: 12-02-2024
Vendor: TechnoMech Automation Solutions
Delivery Address: Plot 102, Chakan Industrial Area, Pune 410501
Payment Terms: Net 30 Days
Line Items:
1. Pneumatic Cylinder Double Acting 50mm Bore - Qty: 500 @ INR 2687.17/unit = INR 1343585.00
Authorized Signatory
Terms & Conditions: Goods must be delivered within 15 days.",PURCHASE_ORDER
"DEBIT NOTE
Debit Note No: DC-8393
Debit Note Date: 23-05-2024
Against Original Invoice: INV-2425-24418
Issued By: Mahindra Tooling & Forging Ltd
GSTIN: 27AABC7590A1Z7
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Digital Vernier Caliper 0-150mm
Underbilled Amount: Rs. 716.48
Applicable GST (18%): Rs. 128.97
Total Debit Value: Rs. 845.45
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"INTERNAL MEMORANDUM
To: All Plant Staff
From: Operations Director
Subject: Scheduled maintenance of Power Generator DG-2 on coming Sunday.
All departments are requested to plan production accordingly.",UNKNOWN
"STANDARD PURCHASE ORDER
PO No: PO-2024-1996
Buyer: MSME Manufacturing Works
Supplier: Premier Bearings & Power Transmission
GSTIN: 27AABC3705A1Z6
Item Details:
Item Code: ITM-859, Description: Industrial Ball Bearing 6205-2RS, Quantity: 200, Rate: 311.39, Taxable Value: 62278.00
Total Order Value: INR 62278.00
Special Instructions: Deliver with inspection certificate and warranty.",PURCHASE_ORDER
"GOODS DELIVERY CHALLAN
Challan Ref: DC-8262
Date: 23-07-2024
PO Reference: PO-2024-2364
From: Swaraj Pneumatic Systems
To: MSME Engineering Works, Plot 8, MIDC Pune
Mode of Transport: Tempo MH-14-BT-1122
LR / GC No: 994821
Particulars:
- Tungsten Carbide Milling Insert TNMG160408 : Quantity Delivered: 500 BOX
Remarks: Material subject to quality inspection at gate.
Inspected & Received in good order.",DELIVERY_NOTE
"DEBIT NOTE
Debit Note No: DC-9137
Debit Note Date: 27-03-2024
Against Original Invoice: INV-2425-76686
Issued By: Mahindra Tooling & Forging Ltd
GSTIN: 27AABC8025A1Z3
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Carbon Steel Seamless Pipe 2 inch NB
Underbilled Amount: Rs. 54131.36
Applicable GST (18%): Rs. 9743.64
Total Debit Value: Rs. 63875.00
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-5279
Date of Dispatch: 21-06-2024
Against PO No: PO-2024-5682
Consignor: Shree Ganesh Hydraulic Spares
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Stainless Steel Hex Bolt M10x50mm - Dispatched Qty: 500 PCS (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"PAYMENT RECEIPT / VOUCHER
Receipt No: PAY-REC-340443
Payment Date: 09-04-2024
Paid To: Sunrise Rubber & Polymer Components
Paid By: MSME Auto Components Ltd
Payment Method: NEFT / RTGS Transfer
Bank Transaction Ref / UTR: UTR-HDFC-99182374192
Invoice Reference: INV-2425-66965
Amount Paid: INR 594663.36
Amount in Words: INR 594663.36 only
Payment towards full/part settlement of Invoice INV-2425-66965
Authorized Accounts Officer: Rajeev Kumar",PAYMENT_RECEIPT
"CREDIT NOTE
Credit Note No: CN-2425-517
Credit Note Date: 07-06-2024
Original Tax Invoice Ref: INV-2425-31738
Original Invoice Date: 17-08-2024
Issued By: Bharat Precision Fasteners
GSTIN: 27AABC6378A1Z1
Issued To: MSME Manufacturing Ltd
Reason for Credit: Rate difference / Return of damaged goods / Post-sale discount
Particulars:
Item: Viton Seal Gasket 100mm OD
Quantity Returned / Adjusted: 20 PCS
Unit Rate: Rs. 90.25
Credit Amount (Taxable): Rs. 280.61
CGST 9%: Rs. 25.25
SGST 9%: Rs. 25.25
Total Credit Note Amount: Rs. 331.12
We have credited your account with the above amount.",CREDIT_NOTE
"SAFETY MANUAL & PROTOCOL
Section 4: General Workshop Safety Guidelines.
1. Personal Protective Equipment (PPE) including safety helmets, steel-toe shoes and goggles must be worn.
2. Machine emergency stop buttons must be inspected daily.
3. In case of fire, evacuate through Gate 2.",UNKNOWN
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-492
Date: 26-01-2024
Ref Invoice: INV-2425-38454
Vendor: Kirloskar Engineering Supplies
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Stainless Steel Hex Bolt M10x50mm - Difference INR 1380.74
IGST Adjustment: INR 248.53
Net Credit Allowed: INR 1629.27
Authorized Signatory, Accounts Department",CREDIT_NOTE
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-423
Date: 05-07-2024
Ref Invoice: INV-2425-81366
Vendor: Mahindra Tooling & Forging Ltd
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Carbon Steel Seamless Pipe 2 inch NB - Difference INR 10690.52
IGST Adjustment: INR 1924.29
Net Credit Allowed: INR 12614.81
Authorized Signatory, Accounts Department",CREDIT_NOTE
"DEBIT NOTE
Debit Note No: DC-6823
Debit Note Date: 16-08-2024
Against Original Invoice: INV-2425-41640
Issued By: Premier Bearings & Power Transmission
GSTIN: 27AABC8396A1Z1
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Carbon Steel Seamless Pipe 2 inch NB
Underbilled Amount: Rs. 3284.77
Applicable GST (18%): Rs. 591.26
Total Debit Value: Rs. 3876.03
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"PAYMENT RECEIPT / VOUCHER
Receipt No: PAY-REC-442973
Payment Date: 17-09-2024
Paid To: Apex Industrial Tools Pvt Ltd
Paid By: MSME Auto Components Ltd
Payment Method: NEFT / RTGS Transfer
Bank Transaction Ref / UTR: UTR-HDFC-99182374192
Invoice Reference: INV-2425-91869
Amount Paid: INR 16698.14
Amount in Words: INR 16698.14 only
Payment towards full/part settlement of Invoice INV-2425-91869
Authorized Accounts Officer: Rajeev Kumar",PAYMENT_RECEIPT
"DEBIT NOTE
Debit Note No: DC-5036
Debit Note Date: 11-06-2024
Against Original Invoice: INV-2425-35238
Issued By: Vanguard Steel & Alloys Corp
GSTIN: 27AABC2858A1Z5
Issued To: MSME Precision Tools
Reason for Debit: Price undercharged in original invoice / Supplementary freight charges / Unbilled additional quantities
Description: Pneumatic Cylinder Double Acting 50mm Bore
Underbilled Amount: Rs. 39277.14
Applicable GST (18%): Rs. 7069.89
Total Debit Value: Rs. 46347.03
We have debited your account with the above mentioned sum.
Authorized Signatory",DEBIT_NOTE
"DELIVERY NOTE / CHALLAN
Delivery Challan No: DC-5622
Date of Dispatch: 11-03-2024
Against PO No: PO-2024-6427
Consignor: Swaraj Pneumatic Systems
Consignee: MSME Manufacturing Plant
Vehicle No: MH-12-RN-8821
Transporter: Apex Logistics
Driver Name: Suresh Patil (Mob: 9876543210)
Materials Dispatched:
1. Nitrile Rubber O-Ring Kit 200pcs - Dispatched Qty: 10 SET (Packages: 4 Wooden Crates)
Condition of Goods: Good condition, sealed boxes.
Received by: Stores In-charge (Signature & Date)
Goods received in full and sound condition.",DELIVERY_NOTE
"QUOTATION / PRICE ESTIMATE
Quotation Ref: QUO-2024-571
Quote Date: 01-07-2024
Valid Until: 23-11-2024
To: Procurement Team, MSME Works
From: Sunrise Rubber & Polymer Components
Dear Sir, We are pleased to quote our lowest rates:
Item: Viton Seal Gasket 100mm OD
Offered Unit Price: Rs. 102.60 per PCS
Lead Time: 10 working days from PO confirmation.
Payment Terms: 30 days credit from invoice date.
Validity: 30 days from quote date.
Looking forward to your valued Purchase Order.
Best Regards, Sales Manager, Sunrise Rubber & Polymer Components",QUOTATION
"TAX CREDIT MEMORANDUM
CN Number: CN-2425-105
Date: 19-03-2024
Ref Invoice: INV-2425-44371
Vendor: Premier Bearings & Power Transmission
Customer: MSME Works
Adjustment Details:
Price reduction agreed on Viton Seal Gasket 100mm OD - Difference INR 5932.33
IGST Adjustment: INR 1067.82
Net Credit Allowed: INR 7000.15
Authorized Signatory, Accounts Department",CREDIT_NOTE
"CREDIT NOTE
Credit Note No: CN-2425-347
Credit Note Date: 27-08-2024
Original Tax Invoice Ref: INV-2425-49765
Original Invoice Date: 28-08-2024
Issued By: Swaraj Pneumatic Systems
GSTIN: 27AABC5112A1Z1
Issued To: MSME Manufacturing Ltd
Reason for Credit: Rate difference / Return of damaged goods / Post-sale discount
Particulars:
Item: Digital Vernier Caliper 0-150mm
Quantity Returned / Adjusted: 50 NOS
Unit Rate: Rs. 1191.83
Credit Amount (Taxable): Rs. 5297.48
CGST 9%: Rs. 476.77
SGST 9%: Rs. 476.77
Total Credit Note Amount: Rs. 6251.03
We have credited your account with the above amount.",CREDIT_NOTE
